backdrop_path,first_air_date,genre_ids,id,name,origin_country,original_language,original_name,overview,popularity,poster_path,vote_average,vote_count
/sABDsMQOJyf6SCqnX1EnukF8aAq.jpg,2008-09-03,"[80, 18]",1409,Sons of Anarchy,['US'],en,Sons of Anarchy,"An adrenalized drama with darkly comedic undertones that explores a notorious outlaw motorcycle club’s (MC) desire to protect its livelihood while ensuring that their simple, sheltered town of Charming, California remains exactly that, charming. The MC must confront threats from drug dealers, corporate developers, and overzealous law officers. Behind the MC’s familial lifestyle and legally thriving automotive shop is a ruthless and illegal arms business driven by the seduction of money, power, and blood.",125.925,/ujpOMxs5mjRrhgTgOgZj9fqEsgY.jpg,8.4,1992
/gcWImj7xkfmsEb8UEA1w4VZwbQX.jpg,2016-06-03,"[9648, 18, 10765]",64394,Outcast,['US'],en,Outcast,"Kyle Barnes has been plagued by possession since he was a child. Now an adult, he embarks on a spiritual journey to find answers, but what he uncovers could mean the end of life on Earth as we know it.",11.883,/x6ZCpAPDTAHuNxBGq5nU4nqpfYA.jpg,7.2,375
/btmQDXFn72Q4yJcnewEt1pkFPer.jpg,2016-08-23,[],89385,سيرة حب,[],ar,سيرة حب,,10.105,/5ePW12jO3qy5rTKh3x8UhEhmPrF.jpg,0,0
/xQjQ1UgMpTrahnqkMqYB0d3oCjU.jpg,2012-06-28,[35],42878,Anger Management,['US'],en,Anger Management,"Charlie is a non-traditional therapist specializing in anger management. He has a successful private practice and he performs pro bono counseling for an inmate group at a state prison. Prior to his career as a therapist, he was a major league baseball player whose career was put on the shelf for good by his own struggle with anger issues.",30.288,/vfWOzdgf9eB7IjZ9VqgXiWbxJ65.jpg,6.2,168
/wg8bwGWOGF1MXOXiqOo4cnh7jee.jpg,1998-01-01,"[16, 10751, 10762]",3218,Caillou,['CA'],fr,Caillou,"Caillou is an educational Canadian children's television series, based on the books by author Christine L'Heureux and illustrator Hélène Desputeaux. During the first season, many of the stories in the animated version began with a grandmother introducing the story to her grandchildren, then reading the story about the book. Since 1997, the narrator/grandmother is an unseen character. Caillou first aired on Canada's Teletoon channel in 1998; it later made its United States debut in English on Public Broadcasting Service Public television on September 4, 2000 A 5th Season came out in 2013 = and it airs on PBS Kids. Caillou also airs on PBS Sprout.",28.694,/rDm7q3rR2HDQGJg3JW0I9QJAoMK.jpg,5.4,30
/zqheuQ9RKoBZBv7IJUXXLwy5PcP.jpg,2013-06-23,"[18, 9648]",44242,Devious Maids,['US'],en,Devious Maids,"The series centers on four Latina maids working in the homes of Beverly Hills’ wealthiest and most powerful families, and a newcomer who made it personal after a maid was murdered and determined to uncover the truth behind her demise, and in the process become an ally in their lives.",33.379,/gn61HHk9KRa9RKeFCz476EqLR61.jpg,7.1,96
/4qESvubmZ7H9Wth8c1SCuJkK0EA.jpg,2015-05-14,"[18, 9648, 10765]",53425,Wayward Pines,['US'],en,Wayward Pines,"Imagine the perfect American town... beautiful homes, manicured lawns, children playing safely in the streets. Now imagine never being able to leave. You have no communication with the outside world. You think you're going insane. You must be in Wayward Pines.",22.533,/mK9MowBCPEn7RbsDXqN0MxyPc4.jpg,6.8,583
/z1ozzJ7AFvyMoYFKZhCblUzISX1.jpg,2008-11-28,"[16, 35]",7869,The Penguins of Madagascar,['US'],en,The Penguins of Madagascar,"The Penguins of Madagascar is an American CGI animated television series airing on Nickelodeon. It stars nine characters from the DreamWorks Animation animated film Madagascar: The penguins Skipper, Kowalski, Private, and Rico; the lemurs King Julien, Maurice, and Mort; and Mason and Phil the chimpanzees. Characters new to the series include Marlene the otter and a zookeeper named Alice. It is the first Nicktoon produced with DreamWorks Animation.

A pilot episode, ""Gone in a Flash"", aired as part of ""Superstuffed Nicktoons Weekend"" on November 29, 2008, and The Penguins of Madagascar became a regular series on March 28, 2009. The series premiere drew 6.1 million viewers, setting a new record as the most-watched premiere.

Although the series occasionally alludes to the rest of the franchise, The Penguins of Madagascar does not take place at a precise time within it. McGrath, who is also the co-creator of the film characters, has said that the series takes place ""not specifically before or after the movie, I just wanted them all back at the zoo. I think of it as taking place in a parallel universe.""",83.409,/1fRG81M83HgwupmndtgZQOBHh8o.jpg,7.2,156
/tPlXc9AFVa0E9tPw8bs1nS5Zbx6.jpg,2013-12-18,[18],64257,The Great Train Robbery,['GB'],en,The Great Train Robbery,"8 August 1963: Britain wakes up to news of the biggest robbery in the country’s history. A train has been hijacked and robbed, 35 miles from its arrival in central London. The country is stunned. Who could be behind it? How did they pull off such an audacious raid?",11.595,/rUbTniOTYkXjIUFh8QlTNEjbkpn.jpg,6.8,35
/dp4eaBQwxHgX5ALQABgd2Hrtm7O.jpg,2014-06-24,"[18, 10768]",60972,Tyrant,['US'],en,Tyrant,"The story of an unassuming American family drawn into the workings of a turbulent Middle Eastern nation. Bassam ""Barry"" Al Fayeed, the younger son of the dictator of a war-torn nation, ends a self-imposed 20-year exile to return to his homeland, accompanied by his American wife and children, for his nephew's wedding. Barry’s reluctant homecoming leads to a dramatic clash of cultures as he is thrown back into the familial and national politics of his youth.",19.947,/14xKxbF3Si8m5u0m5yPj9ZGlEkj.jpg,6.7,117
