adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/wbboXGI6Ax52LpQodZmBYYVEIcQ.jpg,"[18, 28, 35, 80]",208869,en,Plastic,"Sam &amp; Fordy run a credit card fraud scheme, but when they steal from the wrong man, they find themselves threatened by sadistic gangster. They need to raise £5m and pull off a daring diamond heist to clear their debt.",8.503,/1jva5sTJnlz9g11Xm0GTxl6WAIk.jpg,2014-04-30,Plastic,False,6,153
False,,"[10751, 16]",290238,en,Tom and Jerry: In the Dog House,"Tom and Jerry are at it again, but there's a new ingredient in their classic chase recipe - just add Spike!  It's hound heaven as everyone's favourite bulldog, spike (and on, Tyke), gets in on the fun in this pup-packed collection. These 22 doggie-delightful shorts are guaranteed to have fans howling!  Join Spike and Tyke in their many dealings with the fast and furious duo. Whether Spike's on guard duty, or simply trying to catch a nap, you can bet Tom and Jerry's fur-fueled antics are guaranteed to rattle his cage. And an angry Spike usually spells hard times for Tom - with a little coaxing from jerry, of course! Leash-up for some K9-filled fun for the entire family!",4.802,/51ycLGjPsAKqDkYHStTlEvJVrdl.jpg,2012-03-06,Tom and Jerry: In the Dog House,True,5.9,5
False,/zywtNiaZ9r7azrcNdl2j0jOgrkw.jpg,"[35, 18]",594,en,The Terminal,"Viktor Navorski is a man without a country; his plane took off just as a coup d'etat exploded in his homeland, leaving it in shambles, and now he's stranded at Kennedy Airport, where he's holding a passport that nobody recognizes. While quarantined in the transit lounge until authorities can figure out what to do with him, Viktor simply goes on living – and courts romance with a beautiful flight attendant.",30.53,/vRYbjHs129MARMq1VDbnk9Jboen.jpg,2004-06-17,The Terminal,False,7.3,6255
False,/Yj9SefNpNkXVo8x5J56uLm35ls.jpg,[18],205220,en,Philomena,"A woman searches for her adult son, who was taken away from her decades ago when she was forced to live in a convent.",11.453,/eBUv2GmGdXmCk1AaSOmyiu70hN8.jpg,2013-11-01,Philomena,False,7.4,1320
False,/2x3jJTMyS6BT4HMOWTf4A3E74qF.jpg,"[35, 18, 10749]",191566,en,Crazy Kind of Love,A broken family finds their relationships to one another changed by a new arrival in the household.,5.562,/t2cm8kBBlkKxUtVvq1f8q8uXdF0.jpg,2013-05-31,Crazy Kind of Love,False,5.7,31
False,/60PR4UC3D20dycVAoWadUzFio5R.jpg,"[10751, 35, 10402]",64328,en,The Muppets,"When Kermit the Frog and the Muppets learn that their beloved theater is slated for demolition, a sympathetic human, Gary, and his puppet brother, Walter, swoop in to help the gang put on a show and raise the $10 million they need to save the day.",30.681,/rsNbxonO8gtylIXwiv7JeqwJ4Kb.jpg,2011-11-22,The Muppets,False,6.6,1267
False,/q2ROc1b4DELDtKG9cEcvWprzFhO.jpg,"[18, 10751, 10749, 10402]",9816,en,Save the Last Dance,"After the death of her mother, Sara moves to the South Side of Chicago to live with her father and gets transferred to a majority-black school. Her life takes a turn for the better when befriends Chenille and her brother Derek, who helps her with her dancing skills.",13.543,/sV8GIxT3BjHIiwgKUNwk1S8VSLa.jpg,2001-01-12,Save the Last Dance,False,6.6,1059
False,/4lfP1eVs5Q3Gk0K2kn1RvWs5alH.jpg,[35],316023,en,Mike and Dave Need Wedding Dates,"Mike and Dave are young, adventurous, fun-loving brothers who tend to get out of control at family gatherings. When their sister Jeanie reveals her Hawaiian wedding plans, the rest of the Stangles insist that the brothers bring respectable dates. After placing an ad on Craigslist, the siblings decide to pick Tatiana and Alice, two charming and seemingly normal women. Once they arrive on the island, however, Mike and Dave realize that their companions are ready to get wild and party.",40.12,/rK0UwpiE3PSdGahfDZLCummxMwd.jpg,2016-07-07,Mike and Dave Need Wedding Dates,False,6.1,2143
False,/ntEHvLm7QLHpcw3EGmH1aXyziwP.jpg,"[28, 53, 18]",1620,en,Hitman,"A genetically engineered assassin with deadly aim, known only as ""Agent 47"" eliminates strategic targets for a top-secret organization. But when he's double-crossed, the hunter becomes the prey as 47 finds himself in a life-or-death game of international intrigue.",34.662,/h69UJOOKlrHcvhl5H2LY74N61DQ.jpg,2007-11-21,Hitman,False,6.1,2617
False,/9JJJOq1YuhUpC3wRgeEYn85UPbi.jpg,"[35, 18, 9648]",252512,en,While We're Young,An uptight documentary filmmaker and his wife find their lives loosened up a bit after befriending a free-spirited younger couple.,16.052,/i93eZj1nSlorJ1miNkpn4zLKRj0.jpg,2015-04-03,While We're Young,False,5.9,897
False,/4xFlvdymCBqyBN8Ab5i69Sgqk7m.jpg,"[28, 16, 35]",464882,en,Batman vs. Two-Face,"Former Gotham City District Attorney Harvey Dent, one side of his face scarred by acid, goes on a crime spree based on the number '2'. All of his actions are decided by the flip of a defaced, two-headed silver dollar.",13.706,/yTbj8Kcp4WFwMRdEejnn55KIsfH.jpg,2017-11-14,Batman vs. Two-Face,False,6.4,130
False,/jK65srQczOKTpW62wPxwwKztGgE.jpg,"[35, 18]",120467,en,The Grand Budapest Hotel,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",26.192,/eWdyYQreja6JGCzqHWXpWHDrrPo.jpg,2014-02-26,The Grand Budapest Hotel,False,8.1,12041
